Linha,011
Tabela,002
num,ponto,horario
120104,PREFEITURA (SENT.ANTI-HORARIO),06:12
140181,P.U.C. (SENTIDO ANTI-HORARIO),06:55
120104,PREFEITURA (SENT.ANTI-HORARIO),07:25
140181,P.U.C. (SENTIDO ANTI-HORARIO),08:20
120104,PREFEITURA (SENT.ANTI-HORARIO),08:54
140181,P.U.C. (SENTIDO ANTI-HORARIO),09:38
120104,PREFEITURA (SENT.ANTI-HORARIO),10:06
140181,P.U.C. (SENTIDO ANTI-HORARIO),10:49
120104,PREFEITURA (SENT.ANTI-HORARIO),11:18
140181,P.U.C. (SENTIDO ANTI-HORARIO),12:02
120104,PREFEITURA (SENT.ANTI-HORARIO),12:30
140181,P.U.C. (SENTIDO ANTI-HORARIO),13:18
120104,PREFEITURA (SENT.ANTI-HORARIO),13:46
140181,P.U.C. (SENTIDO ANTI-HORARIO),14:34
120104,PREFEITURA (SENT.ANTI-HORARIO),15:02
140181,P.U.C. (SENTIDO ANTI-HORARIO),15:50
120104,PREFEITURA (SENT.ANTI-HORARIO),16:16
140181,P.U.C. (SENTIDO ANTI-HORARIO),17:08
120104,PREFEITURA (SENT.ANTI-HORARIO),17:40
140181,P.U.C. (SENTIDO ANTI-HORARIO),18:46
