Linha,624
Tabela,001
num,ponto,horario
150929,BAIRRO VILA SAO PEDRO,05:00
105932,TERMINAL CAPAO RASO,05:20
150929,BAIRRO VILA SAO PEDRO,05:40
105932,TERMINAL CAPAO RASO,06:00
150929,BAIRRO VILA SAO PEDRO,06:20
105932,TERMINAL CAPAO RASO,06:41
150929,BAIRRO VILA SAO PEDRO,07:01
105932,TERMINAL CAPAO RASO,07:26
150929,BAIRRO VILA SAO PEDRO,07:46
105932,TERMINAL CAPAO RASO,08:09
150929,BAIRRO VILA SAO PEDRO,08:29
105932,TERMINAL CAPAO RASO,08:51
150929,BAIRRO VILA SAO PEDRO,09:11
105932,TERMINAL CAPAO RASO,09:32
150929,BAIRRO VILA SAO PEDRO,09:53
105932,TERMINAL CAPAO RASO,10:14
150929,BAIRRO VILA SAO PEDRO,10:35
105932,TERMINAL CAPAO RASO,10:56
150929,BAIRRO VILA SAO PEDRO,11:17
105932,TERMINAL CAPAO RASO,11:38
150929,BAIRRO VILA SAO PEDRO,11:59
105932,TERMINAL CAPAO RASO,12:20
150929,BAIRRO VILA SAO PEDRO,12:42
105932,TERMINAL CAPAO RASO,13:03
150929,BAIRRO VILA SAO PEDRO,13:26
105932,TERMINAL CAPAO RASO,13:47
150929,BAIRRO VILA SAO PEDRO,14:09
105932,TERMINAL CAPAO RASO,14:30
150929,BAIRRO VILA SAO PEDRO,14:51
105932,TERMINAL CAPAO RASO,15:12
150929,BAIRRO VILA SAO PEDRO,15:34
105932,TERMINAL CAPAO RASO,15:54
150929,BAIRRO VILA SAO PEDRO,16:17
105932,TERMINAL CAPAO RASO,16:38
150929,BAIRRO VILA SAO PEDRO,17:02
105932,TERMINAL CAPAO RASO,17:24
150929,BAIRRO VILA SAO PEDRO,17:52
105932,TERMINAL CAPAO RASO,18:14
150929,BAIRRO VILA SAO PEDRO,18:44
105932,TERMINAL CAPAO RASO,19:05
150929,BAIRRO VILA SAO PEDRO,19:27
105932,TERMINAL CAPAO RASO,19:48
150929,BAIRRO VILA SAO PEDRO,20:10
105932,TERMINAL CAPAO RASO,20:30
150929,BAIRRO VILA SAO PEDRO,20:51
105932,TERMINAL CAPAO RASO,21:11
150929,BAIRRO VILA SAO PEDRO,21:31
105932,TERMINAL CAPAO RASO,21:51
150929,BAIRRO VILA SAO PEDRO,22:11
105932,TERMINAL CAPAO RASO,22:30
150929,BAIRRO VILA SAO PEDRO,22:49
105932,TERMINAL CAPAO RASO,23:08
150929,BAIRRO VILA SAO PEDRO,23:27
105932,TERMINAL CAPAO RASO,23:46
150929,BAIRRO VILA SAO PEDRO,00:05
105932,TERMINAL CAPAO RASO,00:24
