Linha,628
Tabela,003-2
num,ponto,horario
170363,ROD. DO XISTO (628),16:09
170369,BAIRRO CARBOMAFRA,16:19
105212,TERMINAL CIC/SENT.CAPAO RASO,16:47
104806,TERMINAL CAPAO RASO,17:05
105205,TERMINAL CIC/BOSCH VILA VERDE,17:20
170369,BAIRRO CARBOMAFRA,17:45
105212,TERMINAL CIC/SENT.CAPAO RASO,18:13
104806,TERMINAL CAPAO RASO,18:31
105205,TERMINAL CIC/BOSCH VILA VERDE,18:46
170369,BAIRRO CARBOMAFRA,19:13
105212,TERMINAL CIC/SENT.CAPAO RASO,19:37
104806,TERMINAL CAPAO RASO,19:53
105205,TERMINAL CIC/BOSCH VILA VERDE,20:08
170369,BAIRRO CARBOMAFRA,20:31
105212,TERMINAL CIC/SENT.CAPAO RASO,20:54
104806,TERMINAL CAPAO RASO,21:09
105205,TERMINAL CIC/BOSCH VILA VERDE,21:23
170369,BAIRRO CARBOMAFRA,21:45
105212,TERMINAL CIC/SENT.CAPAO RASO,22:08
104806,TERMINAL CAPAO RASO,22:23
105205,TERMINAL CIC/BOSCH VILA VERDE,22:36
170369,BAIRRO CARBOMAFRA,22:57
105212,TERMINAL CIC/SENT.CAPAO RASO,23:20
104806,TERMINAL CAPAO RASO,23:35
105205,TERMINAL CIC/BOSCH VILA VERDE,23:48
