Linha,531
Tabela,003
num,ponto,horario
160130,BAIRRO SANTA INES,05:42
104318,TERMINAL BOQUEIRAO,06:01
160130,BAIRRO SANTA INES,06:17
104318,TERMINAL BOQUEIRAO,06:37
160130,BAIRRO SANTA INES,06:56
104318,TERMINAL BOQUEIRAO,07:18
160130,BAIRRO SANTA INES,07:38
104318,TERMINAL BOQUEIRAO,08:02
160130,BAIRRO SANTA INES,08:20
104318,TERMINAL BOQUEIRAO,08:40
160130,BAIRRO SANTA INES,09:00
104318,TERMINAL BOQUEIRAO,09:20
160130,BAIRRO SANTA INES,09:42
104318,TERMINAL BOQUEIRAO,10:00
160130,BAIRRO SANTA INES,10:20
104318,TERMINAL BOQUEIRAO,10:38
160130,BAIRRO SANTA INES,10:58
104318,TERMINAL BOQUEIRAO,11:16
160130,BAIRRO SANTA INES,11:36
104318,TERMINAL BOQUEIRAO,11:56
160130,BAIRRO SANTA INES,12:16
104318,TERMINAL BOQUEIRAO,12:36
160130,BAIRRO SANTA INES,12:56
104318,TERMINAL BOQUEIRAO,13:16
160130,BAIRRO SANTA INES,13:36
104318,TERMINAL BOQUEIRAO,13:56
160130,BAIRRO SANTA INES,14:16
104318,TERMINAL BOQUEIRAO,14:36
160130,BAIRRO SANTA INES,14:56
104318,TERMINAL BOQUEIRAO,15:16
160130,BAIRRO SANTA INES,15:36
104318,TERMINAL BOQUEIRAO,15:56
160130,BAIRRO SANTA INES,16:16
104318,TERMINAL BOQUEIRAO,16:36
160130,BAIRRO SANTA INES,16:56
104318,TERMINAL BOQUEIRAO,17:16
160130,BAIRRO SANTA INES,17:38
104318,TERMINAL BOQUEIRAO,18:00
160130,BAIRRO SANTA INES,18:22
104318,TERMINAL BOQUEIRAO,18:44
160130,BAIRRO SANTA INES,19:06
104318,TERMINAL BOQUEIRAO,19:28
160130,BAIRRO SANTA INES,19:50
104318,TERMINAL BOQUEIRAO,20:12
160130,BAIRRO SANTA INES,20:34
104318,TERMINAL BOQUEIRAO,20:56
160130,BAIRRO SANTA INES,21:18
104318,TERMINAL BOQUEIRAO,21:40
160130,BAIRRO SANTA INES,22:02
104318,TERMINAL BOQUEIRAO,22:24
160130,BAIRRO SANTA INES,22:46
104318,TERMINAL BOQUEIRAO,23:06
160130,BAIRRO SANTA INES,23:28
104318,TERMINAL BOQUEIRAO,23:50
160130,BAIRRO SANTA INES,00:10
104318,TERMINAL BOQUEIRAO,00:35
